"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_STATE_NM","DEST_AIRPORT_ID","DEST_CITY_NAME","DEST_STATE_NM","CRS_DEP_TIME","DEP_DELAY","CRS_ELAPSED_TIME","DISTANCE",
2019,3,9,1,7,"G4","","2315",11423,"DSM","Iowa",14761,"Sanford, FL","Florida","1656",,158.00,1124.00,
2019,3,9,23,1,"G4","323NV","12",11003,"CID","Iowa",12889,"Las Vegas, NV","Nevada","1304",-16.00,202.00,1319.00,
2019,3,9,29,7,"G4","279NV","513",10466,"AZA","Arizona",11003,"Cedar Rapids/Iowa City, IA","Iowa","0650",-10.00,173.00,1240.00,
2019,3,9,19,4,"G4","223NV","847",14112,"PIE","Florida",11003,"Cedar Rapids/Iowa City, IA","Iowa","1714",0.00,164.00,1090.00,
2019,3,9,1,7,"G4","314NV","16",12889,"LAS","Nevada",11423,"Des Moines, IA","Iowa","0740",-2.00,172.00,1216.00,
2019,3,9,13,5,"G4","216NV","2852",10693,"BNA","Tennessee",11003,"Cedar Rapids/Iowa City, IA","Iowa","0840",-2.00,92.00,481.00,
2019,3,9,2,1,"G4","324NV","12",11003,"CID","Iowa",12889,"Las Vegas, NV","Nevada","1300",-5.00,198.00,1319.00,
2019,3,9,22,7,"G4","332NV","128",11423,"DSM","Iowa",12889,"Las Vegas, NV","Nevada","1317",-7.00,184.00,1216.00,
2019,3,9,13,5,"G4","253NV","506",10466,"AZA","Arizona",11423,"Des Moines, IA","Iowa","0600",-7.00,163.00,1137.00,
2019,3,9,27,5,"G4","240NV","2853",11003,"CID","Iowa",10693,"Nashville, TN","Tennessee","1057",13.00,85.00,481.00,
2019,3,9,13,5,"G4","309NV","2307",14761,"SFB","Florida",11003,"Cedar Rapids/Iowa City, IA","Iowa","0725",-2.00,166.00,1078.00,
2019,3,9,22,7,"G4","221NV","513",10466,"AZA","Arizona",11003,"Cedar Rapids/Iowa City, IA","Iowa","0650",-7.00,173.00,1240.00,
2019,3,9,8,7,"G4","305NV","16",12889,"LAS","Nevada",11423,"Des Moines, IA","Iowa","0745",-8.00,172.00,1216.00,
