"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_STATE_NM","DEST_AIRPORT_ID","DEST_CITY_NAME","DEST_STATE_NM","CRS_DEP_TIME","DEP_DELAY","CRS_ELAPSED_TIME","DISTANCE",
2019,3,8,2,5,"WN","N499WN","2382",11423,"DSM","Iowa",12889,"Las Vegas, NV","Nevada","1200",-2.00,180.00,1216.00,
2019,3,8,2,5,"WN","N7841A","752",11423,"DSM","Iowa",15016,"St. Louis, MO","Missouri","1730",1.00,55.00,259.00,
2019,3,8,2,5,"WN","N920WN","2218",11423,"DSM","Iowa",15016,"St. Louis, MO","Missouri","0620",-5.00,60.00,259.00,
2019,3,8,2,5,"WN","N7841A","752",12889,"LAS","Nevada",11423,"Des Moines, IA","Iowa","1205",0.00,170.00,1216.00,
2019,3,8,7,3,"WN","N785SW","445",12889,"LAS","Nevada",11423,"Des Moines, IA","Iowa","1145",2.00,175.00,1216.00,
2019,3,8,24,6,"UA","N816UA","294",11003,"CID","Iowa",11292,"Denver, CO","Colorado","0600",-4.00,128.00,692.00,
2019,3,8,24,6,"UA","N834UA","259",11423,"DSM","Iowa",13930,"Chicago, IL","Illinois","0645",-8.00,81.00,299.00,
2019,3,8,23,5,"UA","N73259","1979",11423,"DSM","Iowa",13930,"Chicago, IL","Illinois","1520",-4.00,83.00,299.00,
2019,3,8,23,5,"UA","N78506","1634",11423,"DSM","Iowa",11292,"Denver, CO","Colorado","1714",-6.00,116.00,589.00,
2019,3,8,23,5,"UA","N73259","1634",13930,"ORD","Illinois",11423,"Des Moines, IA","Iowa","1300",-8.00,85.00,299.00,
2019,3,8,23,5,"UA","N834UA","1597",11292,"DEN","Colorado",11423,"Des Moines, IA","Iowa","2040",-11.00,101.00,589.00,
2019,3,8,23,5,"UA","N78506","1536",11292,"DEN","Colorado",11423,"Des Moines, IA","Iowa","1340",-6.00,99.00,589.00,
2019,3,8,23,5,"UA","N415UA","1256",11423,"DSM","Iowa",11292,"Denver, CO","Colorado","0600",-5.00,114.00,589.00,
2019,3,8,23,5,"UA","N68811","1250",13930,"ORD","Illinois",11423,"Des Moines, IA","Iowa","2130",-4.00,84.00,299.00,
2019,3,8,23,5,"UA","N855UA","774",11292,"DEN","Colorado",11003,"Cedar Rapids/Iowa City, IA","Iowa","1115",1.00,110.00,692.00,
2019,3,8,23,5,"UA","N816UA","644",11292,"DEN","Colorado",11003,"Cedar Rapids/Iowa City, IA","Iowa","2025",1.00,120.00,692.00,
2019,3,8,23,5,"UA","N855UA","386",11003,"CID","Iowa",11292,"Denver, CO","Colorado","1525",-4.00,127.00,692.00,
2019,3,8,23,5,"UA","N894UA","294",11003,"CID","Iowa",11292,"Denver, CO","Colorado","0600",-2.00,130.00,692.00,
2019,3,8,23,5,"UA","N75432","259",11423,"DSM","Iowa",13930,"Chicago, IL","Illinois","0638",-7.00,81.00,299.00,
2019,3,8,22,4,"UA","N13718","1979",11423,"DSM","Iowa",13930,"Chicago, IL","Illinois","1520",-1.00,83.00,299.00,
2019,3,8,22,4,"UA","N458UA","1634",11423,"DSM","Iowa",11292,"Denver, CO","Colorado","1714",-9.00,116.00,589.00,
2019,3,8,22,4,"UA","N13718","1634",13930,"ORD","Illinois",11423,"Des Moines, IA","Iowa","1300",0.00,85.00,299.00,
2019,3,8,22,4,"UA","N415UA","1597",11292,"DEN","Colorado",11423,"Des Moines, IA","Iowa","2040",79.00,101.00,589.00,
