"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_STATE_NM","DEST_AIRPORT_ID","DEST_CITY_NAME","DEST_STATE_NM","CRS_DEP_TIME","DEP_DELAY","CRS_ELAPSED_TIME","DISTANCE",
2019,1,1,11,5,"WN","N8541W","777",15016,"STL","Missouri",11423,"Des Moines, IA","Iowa","1105",-9.00,65.00,259.00,
2019,1,1,11,5,"WN","N495WN","2285",15016,"STL","Missouri",11423,"Des Moines, IA","Iowa","2050",1.00,65.00,259.00,
2019,1,1,12,6,"WN","N8620H","4979",11423,"DSM","Iowa",12889,"Las Vegas, NV","Nevada","1100",6.00,200.00,1216.00,
2019,1,1,12,6,"WN","N8560Z","2496",11423,"DSM","Iowa",14107,"Phoenix, AZ","Arizona","1620",-4.00,190.00,1149.00,
2019,1,1,12,6,"WN","N495WN","3071",11423,"DSM","Iowa",15016,"St. Louis, MO","Missouri","0915",,70.00,259.00,
2019,1,1,12,6,"WN","N8560Z","2490",12889,"LAS","Nevada",11423,"Des Moines, IA","Iowa","1040",-3.00,170.00,1216.00,
2019,1,1,12,6,"WN","N7888A","4916",14107,"PHX","Arizona",11423,"Des Moines, IA","Iowa","1715",63.00,160.00,1149.00,
2019,1,1,12,6,"WN","N8620H","4979",15016,"STL","Missouri",11423,"Des Moines, IA","Iowa","0905",-2.00,65.00,259.00,
2019,1,1,8,2,"WN","N8327A","1020",12889,"LAS","Nevada",11423,"Des Moines, IA","Iowa","1055",0.00,175.00,1216.00,
2019,1,1,8,2,"WN","N8651A","777",15016,"STL","Missouri",11423,"Des Moines, IA","Iowa","1105",-4.00,65.00,259.00,
2019,1,1,8,2,"WN","N798SW","2285",15016,"STL","Missouri",11423,"Des Moines, IA","Iowa","2050",-7.00,65.00,259.00,
2019,1,1,15,2,"WN","N8676A","777",15016,"STL","Missouri",11423,"Des Moines, IA","Iowa","1105",-8.00,65.00,259.00,
2019,1,1,15,2,"WN","N420WN","2285",15016,"STL","Missouri",11423,"Des Moines, IA","Iowa","2050",1.00,65.00,259.00,
2019,1,1,1,2,"OH","N582NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",1.00,158.00,815.00,
2019,1,1,2,3,"OH","N596NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-1.00,158.00,815.00,
2019,1,1,3,4,"OH","N593NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-3.00,158.00,815.00,
2019,1,1,4,5,"OH","N568NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-1.00,158.00,815.00,
2019,1,1,5,6,"OH","N563NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-1.00,158.00,815.00,
2019,1,1,6,7,"OH","N550NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",55.00,156.00,815.00,
2019,1,1,7,1,"OH","N586NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",7.00,156.00,815.00,
2019,1,1,8,2,"OH","N559NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","1810",13.00,164.00,815.00,
2019,1,1,9,3,"OH","N556NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-3.00,156.00,815.00,
2019,1,1,10,4,"OH","N585NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-3.00,156.00,815.00,
2019,1,1,11,5,"OH","N549NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",,156.00,815.00,
2019,1,1,12,6,"OH","N600NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","1810",25.00,164.00,815.00,
2019,1,1,13,7,"OH","N576NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-7.00,156.00,815.00,
2019,1,1,14,1,"OH","N592NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-3.00,156.00,815.00,
2019,1,1,15,2,"OH","N571NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","1810",-6.00,164.00,815.00,
2019,1,1,16,3,"OH","N554NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-2.00,156.00,815.00,
2019,1,1,17,4,"OH","N595NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",2.00,156.00,815.00,
2019,1,1,18,5,"OH","N573NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",,156.00,815.00,
2019,1,1,19,6,"OH","N588NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","1810",21.00,164.00,815.00,
2019,1,1,20,7,"OH","N567NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-9.00,156.00,815.00,
2019,1,1,21,1,"OH","N597NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2015",-1.00,159.00,815.00,
2019,1,1,22,2,"OH","N555NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","1810",-1.00,164.00,815.00,
2019,1,1,23,3,"OH","N558NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",13.00,156.00,815.00,
2019,1,1,24,4,"OH","N587NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-3.00,156.00,815.00,
2019,1,1,25,5,"OH","N549NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","2215",-4.00,156.00,815.00,
2019,1,1,26,6,"OH","N577NN","5635",11057,"CLT","North Carolina",11423,"Des Moines, IA","Iowa","1810",26.00,164.00,815.00,
